Nível_da_estrutura_de_tópicos;EDT;Nome;Duração (dias);Início;Término;Predecessoras;Sucessoras;Predecessoras de EDT;Sucessoras de EDT;Crítica
0;0;Seçõa_Saúde_IME.mpp;227.82 ;06/01/2025 07:00;19/11/2025 16:34;;;;;Sim
1;1;Início;0;06/01/2025 07:00;06/01/2025 07:00;;"6;7;8;9;10;11;12;479;42;15;16;25;19;28;31;29;34;35;37;39;134;473;475;474;20;21;22";;"2.1.1.1.1;2.1.1.1.2;2.1.1.1.3;2.1.1.1.4;2.1.1.1.5;2.1.1.1.6;2.1.1.1.7;2.23.3;2.3.1.1;2.1.2.1.1;2.1.2.1.2;2.2.2.1.1;2.2.1.1;2.2.3.1.1;2.2.3.2.1;2.2.3.1.2;2.2.4.1.1;2.2.4.1.2;2.2.4.2.1;2.2.4.3.1;2.10.1;2.22.1.1;2.22.1.3;2.22.1.2;2.2.1.2;2.2.1.3;2.2.1.4";Sim
1;2;SEÇÃO DE SAÚDE;227.82 ;06/01/2025 07:00;19/11/2025 16:34;;;;;Sim
2;2.1;SERVIÇOS TÉCNICOS PROFISSIONAIS;1.13 ;06/01/2025 09:00;07/01/2025 10:00;;;;;Não
3;2.1.1;ESTUDOS E PROJETOS;1.13 ;06/01/2025 09:00;07/01/2025 10:00;;;;;Não
4;2.1.1.1;PROJETOS EXECUTIVOS;1.13 ;06/01/2025 09:00;07/01/2025 10:00;;;;;Não
5;2.1.1.1.1;PROJETO EXECUTIVO DE ARQUITETURA ATE 400m2;1.13 ;06/01/2025 09:00;07/01/2025 10:00;1;120;1;2.9.5.1.1;Não
5;2.1.1.1.2;PROJETO DE FUNDACOES ATE 400m2;1.13 ;06/01/2025 09:00;07/01/2025 10:00;1;120;1;2.9.5.1.1;Não
5;2.1.1.1.3;PROJETO ESTRUTURAL ATE 400m2;1.13 ;06/01/2025 09:00;07/01/2025 10:00;1;120;1;2.9.5.1.1;Não
5;2.1.1.1.4;PROJETO INSTALACOES HIDROSANITARIAS ED. RESIDENCIAL;1.13 ;06/01/2025 09:00;07/01/2025 10:00;1;120;1;2.9.5.1.1;Não
5;2.1.1.1.5;PROJETO DE INSTALACAO ELETRICA;1.13 ;06/01/2025 09:00;07/01/2025 10:00;1;120;1;2.9.5.1.1;Não
5;2.1.1.1.6;PROJETO DE INCENDIO;1.13 ;06/01/2025 09:00;07/01/2025 10:00;1;120;1;2.9.5.1.1;Não
5;2.1.1.1.7;PROJETO DE CANTEIRO DE OBRAS PARA EDIFICACAO;1.13 ;06/01/2025 09:00;07/01/2025 10:00;1;120;1;2.9.5.1.1;Não
3;2.1.2;TAXAS,IMPOSTOS E LICENÇAS;1.13 ;06/01/2025 09:00;07/01/2025 10:00;;;;;Não
4;2.1.2.1;ART;1.13 ;06/01/2025 09:00;07/01/2025 10:00;;;;;Não
5;2.1.2.1.1;ART - VALOR DO CONTRATO ATÉ DE R$ 15.000,01;1.13 ;06/01/2025 09:00;07/01/2025 10:00;1;120;1;2.9.5.1.1;Não
5;2.1.2.1.2;ART - VALOR DO CONTRATO ACIMA DE R$ 15.000,01;1.13 ;06/01/2025 09:00;07/01/2025 10:00;1;120;1;2.9.5.1.1;Não
2;2.2;SERVIÇOS AUXILIARES E ADMINISTRATIVOS;227.5 ;06/01/2025 09:00;19/11/2025 14:00;;;;;Não
3;2.2.1;PESSOAL;227.25 ;06/01/2025 09:00;19/11/2025 11:00;;;;;Não
4;2.2.1.1;ENGENHEIRO CIVIL DE OBRA JUNIOR COM ENCARGOS COMPLEMENTARES;227.25 ;06/01/2025 09:00;19/11/2025 11:00;1;480;1;3;Não
4;2.2.1.2;ENCARREGADO GERAL COM ENCARGOS COMPLEMENTARES;205;06/01/2025 09:00;17/10/2025 18:00;1;480;1;3;Não
4;2.2.1.3;ELETROTÉCNICO COM ENCARGOS COMPLEMENTARES;205;06/01/2025 09:00;17/10/2025 18:00;1;480;1;3;Não
4;2.2.1.4;TÉCNICO EM SEGURANÇA DO TRABALHO COM ENCARGOS COMPLEMENTARES;205;06/01/2025 09:00;17/10/2025 18:00;1;480;1;3;Não
3;2.2.2;MATERIAIS DE CONSUMO;227.5 ;06/01/2025 09:00;19/11/2025 14:00;;;;;Não
4;2.2.2.1;MATERIAIS DE COMBATE A INCÊNDIO;227.5 ;06/01/2025 09:00;19/11/2025 14:00;;;;;Não
5;2.2.2.1.1;EXTINTOR DE INCÊNDIO PORTÁTIL COM CARGA DE CO2 DE 6 KG, CLASSE BC - FORNECIMENTO E INSTALAÇÃO. AF_10/2020_PE;227.5 ;06/01/2025 09:00;19/11/2025 14:00;1;;1;;Não
3;2.2.3;CONSUMOS;227.25 ;06/01/2025 09:00;19/11/2025 11:00;;;;;Não
4;2.2.3.1;ÁGUA E ESGOTO;227.25 ;06/01/2025 09:00;19/11/2025 11:00;;;;;Não
5;2.2.3.1.1;"TARIFA""A"" ENTRE 0 E 20M3 FORNECIMENTO D'ÁGUA";227.25 ;06/01/2025 09:00;19/11/2025 11:00;1;480;1;3;Não
5;2.2.3.1.2;"TARIFA""A"" ENTRE 0 E 20M3 - ESGOTO";227.25 ;06/01/2025 09:00;19/11/2025 11:00;1;480;1;3;Não
4;2.2.3.2;LUZ;227.25 ;06/01/2025 09:00;19/11/2025 11:00;;;;;Não
